"name","category","rating","review_count","size","install_count","type","price","content_rating","genres"
"Used Cars and Trucks for Sale","AUTO_AND_VEHICLES",4.6,17057,"Varies with device","1,000,000+","Free","0","Everyone","Auto & Vehicles"
"American Muscle Car Race","AUTO_AND_VEHICLES",3.9,129,"35M","100,000+","Free","0","Everyone","Auto & Vehicles"
"Offroad Oil Tanker Driver Transport Truck 2019","AUTO_AND_VEHICLES",4.3,542,"33M","100,000+","Free","0","Everyone","Auto & Vehicles"
"Tickets SDA 2018 and Exam from the State Traffic Safety Inspectorate with Drom.ru","AUTO_AND_VEHICLES",4.9,10479,"33M","100,000+","Free","0","Everyone","Auto & Vehicles"
"Gas Prices (Germany only)","AUTO_AND_VEHICLES",4.4,805,"5.6M","50,000+","Free","0","Everyone","Auto & Vehicles"
"Extreme Rally Championship","AUTO_AND_VEHICLES",4.2,129,"54M","100,000+","Free","0","Everyone","Auto & Vehicles"
"Restart Navigator","AUTO_AND_VEHICLES",4.0,1403,"201k","100,000+","Free","0","Everyone","Auto & Vehicles"
"Mirror Camera (Mirror + Selfie Camera)","BEAUTY",4.1,9315,"2.6M","1,000,000+","Free","0","Everyone","Beauty"
"REG - Check the regnumber, find information about Swedish vehicles","AUTO_AND_VEHICLES",3.9,3971,"3.6M","100,000+","Free","0","Everyone","Auto & Vehicles"
"CityBus Lviv","AUTO_AND_VEHICLES",4.6,534,"5.7M","10,000+","Free","0","Everyone","Auto & Vehicles"
"CDL Practice Test 2018 Edition","AUTO_AND_VEHICLES",4.9,7774,"17M","100,000+","Free","0","Everyone","Auto & Vehicles"
"ezETC (ETC balance inquiry, meter trial, real-time traffic)","AUTO_AND_VEHICLES",4.3,38846,"8.6M","1,000,000+","Free","0","Everyone","Auto & Vehicles"
"Free VIN Report for Used Cars","AUTO_AND_VEHICLES",4.6,2431,"2.4M","100,000+","Free","0","Everyone","Auto & Vehicles"
"DMV Permit Practice Test 2018 Edition","AUTO_AND_VEHICLES",4.9,6090,"27M","100,000+","Free","0","Everyone","Auto & Vehicles"
"Check Vehicle Tax","AUTO_AND_VEHICLES",3.9,295,"2.7M","10,000+","Free","0","Everyone","Auto & Vehicles"
"Used Cars Mexico","AUTO_AND_VEHICLES",4.0,190,"2.5M","50,000+","Free","0","Everyone","Auto & Vehicles"
"Ulysse Speedometer","AUTO_AND_VEHICLES",4.3,40211,"Varies with device","5,000,000+","Free","0","Everyone","Auto & Vehicles"
"REPUVE","AUTO_AND_VEHICLES",3.9,356,"Varies with device","100,000+","Free","0","Everyone","Auto & Vehicles"
"Used cars for sale - Trovit","AUTO_AND_VEHICLES",4.2,52530,"7.0M","5,000,000+","Free","0","Everyone","Auto & Vehicles"
"Fines of the State Traffic Safety Inspectorate are official: inspection, payment of fines","AUTO_AND_VEHICLES",4.8,116986,"35M","5,000,000+","Free","0","Everyone","Auto & Vehicles"
"SK Enca Direct Malls - Used Cars Search","AUTO_AND_VEHICLES",3.6,1379,"16M","500,000+","Free","0","Everyone","Auto & Vehicles"
"Android Auto - Maps, Media, Messaging & Voice","AUTO_AND_VEHICLES",4.2,271920,"16M","10,000,000+","Free","0","Teen","Auto & Vehicles"
"PDD-UA","AUTO_AND_VEHICLES",4.8,736,"Varies with device","100,000+","Free","0","Everyone","Auto & Vehicles"
"Tickets SDA 2019 + Exam RF","AUTO_AND_VEHICLES",4.8,7021,"17M","500,000+","Free","0","Everyone","Auto & Vehicles"
"Super Cars Wallpapers And Backgrounds","AUTO_AND_VEHICLES",4.6,197,"3.4M","50,000+","Free","0","Everyone","Auto & Vehicles"
"Police Lights, Sirens & Follow Me","AUTO_AND_VEHICLES",4.5,737,"8.9M","100,000+","Free","0","Everyone","Auto & Vehicles"
"Police Detector (Speed Camera Radar)","AUTO_AND_VEHICLES",4.3,3574,"3.9M","1,000,000+","Free","0","Everyone 10+","Auto & Vehicles"
"Best Car Wallpapers","AUTO_AND_VEHICLES",4.5,994,"2.9M","100,000+","Free","0","Everyone","Auto & Vehicles"
"Tickets + PDA 2018 Exam","AUTO_AND_VEHICLES",4.9,197136,"38M","1,000,000+","Free","0","Everyone","Auto & Vehicles"
"Pick Your Part Garage","AUTO_AND_VEHICLES",3.9,142,"32M","50,000+","Free","0","Everyone","Auto & Vehicles"
"PakWheels: Buy & Sell Cars","AUTO_AND_VEHICLES",4.4,15168,"37M","1,000,000+","Free","0","Everyone","Auto & Vehicles"
"Supervision service","AUTO_AND_VEHICLES",4.0,2155,"15M","500,000+","Free","0","Everyone","Auto & Vehicles"
"Speed Camera Detector - Traffic & Speed Alert","AUTO_AND_VEHICLES",4.3,138,"5.4M","100,000+","Free","0","Everyone","Auto & Vehicles"
"Used car search Goo net whole car Go to net","AUTO_AND_VEHICLES",3.7,5414,"18M","1,000,000+","Free","0","Everyone","Auto & Vehicles"
"CarMax – Cars for Sale: Search Used Car Inventory","AUTO_AND_VEHICLES",4.4,21777,"Varies with device","1,000,000+","Free","0","Everyone","Auto & Vehicles"
"BEST CAR SOUNDS","AUTO_AND_VEHICLES",4.3,348,"38M","100,000+","Free","0","Everyone","Auto & Vehicles"
"RST - Sale of cars on the PCT","AUTO_AND_VEHICLES",3.2,250,"1.1M","100,000+","Free","0","Everyone","Auto & Vehicles"
"AutoScout24 Switzerland – Find your new car","AUTO_AND_VEHICLES",4.6,13372,"Varies with device","1,000,000+","Free","0","Everyone","Auto & Vehicles"
"Zona Azul Digital Fácil SP CET - OFFICIAL São Paulo","AUTO_AND_VEHICLES",4.6,7880,"Varies with device","100,000+","Free","0","Everyone","Auto & Vehicles"
"SMS Park","AUTO_AND_VEHICLES",4.5,3617,"7.9M","100,000+","Free","0","Everyone","Auto & Vehicles"
"SKencar","AUTO_AND_VEHICLES",3.7,4806,"35M","1,000,000+","Free","0","Everyone","Auto & Vehicles"
"Fuelio: Gas log & costs","AUTO_AND_VEHICLES",4.6,65786,"Varies with device","1,000,000+","Free","0","Everyone","Auto & Vehicles"
"auto fines","AUTO_AND_VEHICLES",4.6,31433,"17M","1,000,000+","Free","0","Everyone","Auto & Vehicles"
"Used car is the first car - used car purchase, used car quotation, dealer information to","AUTO_AND_VEHICLES",4.6,5097,"19M","1,000,000+","Free","0","Everyone","Auto & Vehicles"
"All of the parking lot - National Park application (parking lot search / parking sharing / discount payment)","AUTO_AND_VEHICLES",4.0,1754,"14M","500,000+","Free","0","Everyone","Auto & Vehicles"
"Inquiry Fines and Debits of Vehicles","AUTO_AND_VEHICLES",4.4,2680,"2.2M","500,000+","Free","0","Everyone","Auto & Vehicles"
"Gas Station","AUTO_AND_VEHICLES",4.0,1288,"4.5M","100,000+","Free","0","Everyone","Auto & Vehicles"
"Hush - Beauty for Everyone","BEAUTY",4.7,18900,"17M","500,000+","Free","0","Everyone","Beauty"
