"name","size_bytes","currency","price","review_count","rating","content_rating","primary_genre"
"Star Walk - Find Stars And Planets in Sky Above","150195200","USD",4.99,"8932",4.5,"4+","Education"
"The Weather Channel: Forecast, Radar & Alerts","199734272","USD",0.00,"495626",3.5,"4+","Weather"
"Big Day - Event Countdown","13156352","USD",0.99,"812",3.0,"4+","Lifestyle"
"12 Steps AA Companion - Alcoholics Anonymous","30367744","USD",2.99,"1583",3.5,"12+","Lifestyle"
"OpenTable - Restaurant Reservations","93420544","USD",0.00,"113936",4.5,"4+","Food & Drink"
"VLC Remote","31505408","USD",4.99,"2027",4.0,"4+","Entertainment"
"gFlashPro - Flashcards & Tests","25997312","USD",3.99,"768",4.0,"4+","Education"
"Lose It! – Weight Loss Program and Calorie Counter","182054912","USD",0.00,"373835",4.0,"4+","Health & Fitness"
"Target","138754048","USD",0.00,"108131",3.0,"4+","Shopping"
"Fish Tycoon","13564835","USD",0.99,"18943",3.5,"4+","Games"
"Amazon App: shop, scan, compare, and read reviews","133688320","USD",0.00,"126312",3.5,"4+","Shopping"
"Touchgrind","55205888","USD",4.99,"35735",4.0,"4+","Games"
"ProPresenter Remote","46922752","USD",4.99,"410",3.0,"4+","Utilities"
"iReal Pro - Music Book & Play Along","63283200","USD",12.99,"1390",4.5,"4+","Music"
"NRJ Radio","53426176","USD",0.00,"38",3.5,"4+","Music"
"Chase Mobile℠","39505920","USD",0.00,"233270",4.5,"4+","Finance"
"大辞林","210088960","USD",21.99,"64",4.5,"4+","Reference"
"Allrecipes Dinner Spinner","36399104","USD",0.00,"109349",3.5,"12+","Food & Drink"
"新浪新闻-阅读最新时事热门头条资讯视频","115143680","USD",0.00,"2229",3.5,"17+","News"
"MotionX GPS","56481792","USD",1.99,"14970",3.5,"4+","Navigation"
"AccuWeather - Weather for Life","181941248","USD",0.00,"144214",3.5,"4+","Weather"
"Mint: Personal Finance, Budget, Bills & Money","162891776","USD",0.00,"232940",4.0,"4+","Finance"
"ABC News - US & World News + Live Video","98108416","USD",0.00,"48407",3.0,"12+","News"
"Rowmote: Remote Control for Mac","54088704","USD",0.99,"5531",3.5,"4+","Utilities"
"Peekaboo Barn","50155520","USD",1.99,"3393",4.0,"4+","Education"
"Speedtest by Ookla","23936000","USD",0.00,"65016",3.5,"4+","Utilities"
"Pocket God","145293312","USD",0.99,"187529",4.0,"9+","Entertainment"
"Nike+ Training Club - Workouts & Fitness Plans","140367872","USD",0.00,"33969",3.5,"4+","Health & Fitness"
"Citi Mobile®","281244672","USD",0.00,"48822",3.5,"4+","Finance"
"Phase 10 Pro - Play Your Friends!","66695168","USD",1.99,"59155",4.5,"4+","Games"
"Kindle – Read eBooks, Magazines & Textbooks","169747456","USD",0.00,"252076",3.5,"4+","Book"
"MASH","41691136","USD",1.99,"4913",4.0,"9+","Games"
"同花顺-炒股、股票","122886144","USD",0.00,"1744",3.5,"4+","Finance"
"Wedding Dash Deluxe","55803904","USD",0.99,"16567",4.5,"4+","Games"
"Beer Pong Game","188956672","USD",0.00,"187315",2.0,"17+","Games"
"Tempo - Metronome with Setlists","22185984","USD",2.99,"4781",4.5,"4+","Music"
"Skat","66160640","USD",3.99,"94",4.5,"4+","Games"
"Color Splash","28135424","USD",0.99,"29554",4.0,"4+","Photo & Video"
"Zombieville USA","27962441","USD",0.99,"32988",4.0,"12+","Games"
"Skype for iPhone","133238784","USD",0.00,"373519",3.5,"4+","Social Networking"
"Tumblr","151573504","USD",0.00,"334293",4.0,"17+","Social Networking"
"iSwap Faces","27069440","USD",1.99,"2302",3.5,"4+","Photo & Video"
"Match™ - #1 Dating App.","101259264","USD",0.00,"60659",3.0,"17+","Social Networking"
"Tozzle - Toddler's favorite puzzle","168192000","USD",2.99,"2562",4.0,"4+","Games"
"HomeBudget with Sync","17485824","USD",4.99,"3042",3.5,"4+","Finance"
"Wind Meter","5234688","USD",0.99,"338",2.5,"4+","Weather"
"Map My Run+ - GPS Running & Workout Tracker","237913088","USD",2.99,"16434",4.5,"4+","Health & Fitness"
"Map My Ride+ - GPS Cycling & Route Tracker","233513984","USD",2.99,"10046",4.5,"4+","Health & Fitness"
