"play_store_genre","genre_rank","name","total_revenue"
"Role Playing",4,"Star Wars™: Galaxy of Heroes",490000
"Role Playing",5,"MARVEL Future Fight",490000
"Shopping",1,"ASOS",538000
"Shopping",2,"Wish - Shopping Made Fun",490000
"Shopping",3,"Best Buy",442000
"Simulation",1,"Egg, Inc.",538000
"Simulation",2,"SimCity BuildIt",490000
"Simulation",3,"Fallout Shelter",490000
"Simulation",4,"The Sims™ FreePlay",490000
"Simulation",5,"Choices: Stories You Play",490000
"Simulation;Action & Adventure",1,"Farming Simulator 14",490000
"Social",1,"Wishbone - Compare Anything",490000
"Social",2,"Instagram",490000
"Social",3,"Pinterest",490000
"Social",4,"Facebook",442000
"Social",5,"YouNow: Live Stream Video Chat",442000
"Sports",1,"Bleacher Report: Sports news, scores, & highlights",490000
"Sports",2,"Score! Hero",490000
"Sports",3,"Real Basketball",490000
"Sports",4,"WGT Golf Game by Topgolf",490000
"Sports",5,"PES CLUB MANAGER",490000
"Strategy",1,"Clash Royale",490000
"Strategy",2,"aa",490000
"Strategy",3,"Army of Heroes",490000
"Strategy",4,"Clash of Clans",490000
"Strategy",5,"Boom Beach",490000
"Tools",1,"T-Mobile",442000
"Tools",2,"Speedtest by Ookla",442000
"Tools",3,"Google Translate",442000
"Travel & Local",1,"Airbnb",442000
"Travel & Local",2,"Google Street View",442000
"Travel & Local",3,"Google Earth",442000
"Trivia",1,"Trivia Crack",490000
"Video Players & Editors",1,"Dubsmash",490000
"Weather",1,"Yahoo Weather",490000
